Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
accessible,ak-SES-uh-buhl,adj.,easy to approach; obtainable,We asked if the ruins were accessible on foot.,"approachable, reachable","inaccessible, remote","Latin accedere, 'to approach'"
accessory,ak-SES-uh-ree,n.,additional object; useful but not essential,She bought a handbag as an accessory.,"addition, supplement","necessity, essential","Latin accessio, 'addition'"
acclaim,uh-KLAYM,v.,applaud; announce with great approval,Sportscasters acclaimed every American victory.,"praise, applaud","criticize, condemn","Latin acclamare, 'to shout at'"
acclimate,AK-luh-mayt,v.,adjust to climate or environment; adapt,Travelers need to acclimate to new environments.,"adapt, adjust",unsettle,"Latin ad + clima, 'climate'"
acclivity,uh-KLIV-ih-tee,n.,sharp upslope of a hill,The car could not go up the acclivity in high gear.,"incline, ascent","declivity, descent","Latin acclivis, 'sloping upward'"
accolade,AK-uh-layd,n.,award of merit,An 'Oscar' is the highest accolade in Hollywood.,"award, honor","censure, criticism","French accoler, 'to embrace'"
accommodate,uh-KOM-uh-dayt,v.,oblige or help; adjust,Mitch did everything possible to accommodate his elderly relatives.,"oblige, assist","inconvenience, hinder","Latin accommodare, 'to make fit'"
accomplice,uh-KOM-plis,n.,partner in crime,He was arrested as an accomplice in the murder.,"collaborator, conspirator",-,"Old French complice, 'associate'"
accord,uh-KORD,n.,agreement,She was in complete accord with the verdict.,"agreement, harmony","disagreement, discord","Latin accordare, 'to agree'"
accost,uh-KAWST,v.,approach and speak first to a person,"When the men accosted me, I was frightened.","approach, confront","avoid, evade","Latin ad costa, 'to the side'"
accoutre,uh-KOO-ter,v.,equip,The fisherman was accoutred with the best gear.,"equip, outfit","strip, divest","French accoutrer, 'to dress'"
accretion,uh-KREE-shuhn,n.,growth; increase,"Because of this accretion of flesh, he went from size M to XL.","growth, accumulation","reduction, decrease","Latin accrescere, 'to grow'"
accrue,uh-KROO,v.,come about by addition,You must pay the interest that has accrued on your debt.,"accumulate, mount","diminish, decrease","Latin accrescere, 'to grow'"
acerbity,uh-SUR-bih-tee,n.,bitterness of speech and temper,The meeting was marked with such acerbity.,"bitterness, sharpness","sweetness, mildness","Latin acerbus, 'bitter'"
acetic,uh-SEE-tik,adj.,vinegary,The salad had an exceedingly acetic flavor.,"sour, vinegary",sweet,"Latin acetum, 'vinegar'"
acidulous,uh-SIJ-uh-luhs,adj.,slightly sour; sharp; caustic,James was unpopular because of his acidulous remarks.,"sharp, caustic","sweet, mild","Latin acidulus, 'slightly sour'"
acknowledge,ak-NOL-ij,v.,recognize; admit,I acknowledge the Beatles' tunes sound dated.,"admit, recognize","deny, disavow","Old English oncnawan, 'to know'"
acme,AK-mee,n.,peak; pinnacle; highest point,Welles's success in Citizen Kane marked the acme of his career.,"summit, zenith","nadir, depth","Greek akme, 'highest point'"
acoustics,uh-KOO-stiks,n.,science of sound; quality of a room,Carnegie Hall is liked for its fine acoustics.,sound quality,-,"Greek akoustikos, 'pertaining to hearing'"
acquiesce,ak-wee-ES,v.,assent; agree passively,She appeared to acquiesce to her employer's suggestions.,"comply, consent","resist, object","Latin acquiescere, 'to rest'"
acquittal,uh-KWIT-uhl,n.,deliverance from a charge,His acquittal by the jury surprised those who thought him guilty.,"exoneration, vindication","conviction, condemnation","Old French aquiter, 'to settle a debt'"
acrid,AK-rid,adj.,sharp; bitterly pungent,The acrid odor of burnt gunpowder filled the room.,"pungent, bitter","mild, sweet","Latin acer, 'sharp'"
acrimonious,ak-rih-MOH-nee-uhs,adj.,bitter in words or manner,The candidate attacked his opponent in acrimonious terms.,"bitter, caustic","amicable, cordial","Latin acrimonia, 'sharpness'"
acrophobia,ak-ruh-FOH-bee-uh,n.,fear of heights,A salesman convinced someone with acrophobia to join a sky-diving club.,fear of heights,-,"Greek akros, 'top' + phobos, 'fear'"
actuarial,ak-choo-AIR-ee-uhl,adj.,calculating; pertaining to insurance statistics,Actuarial tables show life expectancy is greater today.,statistical,-,"Latin actuarius, 'clerk'"
actuate,AK-choo-ayt,v.,motivate,I fail to understand what actuated you to reply so nastily.,"motivate, prompt","deter, discourage","Latin actus, 'a doing'"
acuity,uh-KYOO-ih-tee,n.,sharpness,In time his youthful acuity of vision failed.,"sharpness, keenness",dullness,"Latin acuere, 'to sharpen'"
acumen,uh-KYOO-muhn,n.,mental keenness,Her business acumen helped her succeed.,"shrewdness, insight",obtuseness,"Latin acuere, 'to sharpen'"
acute,uh-KYOOT,adj.,quickly perceptive; keen; brief and severe,The acute young doctor realized the gradual deterioration immediately.,"sharp, severe","mild, chronic","Latin acutus, 'sharpened'"
adage,AD-ij,n.,wise saying; proverb,There is much truth in the old adage about fools and their money.,"proverb, saying",-,"Latin adagium, 'proverb'"
adamant,AD-uh-muhnt,adj.,hard; inflexible,Bronson played a man adamant in his determination.,"unyielding, inflexible","flexible, yielding","Greek adamas, 'unbreakable'"
adapt,uh-DAPT,v.,alter; modify,Some species could not adapt to a changing environment.,"adjust, modify",-,"Latin adaptare, 'to fit'"
addendum,uh-DEN-duhm,n.,addition; appendix to book,The publishers thought the text needed an addendum.,"appendix, supplement",-,"Latin addere, 'to add'"
addiction,uh-DIK-shuhn,n.,"compulsive, habitual need",His addiction to drugs caused his friends much grief.,"dependency, compulsion",-,"Latin addicere, 'to devote'"
addle,AD-uhl,v.,muddle; drive crazy; become rotten,This idiotic plan is confusing enough to addle anyone.,"confuse, muddle",clarify,"origin uncertain, Old English adela, 'mud'"
address,uh-DRES,v.,direct a speech to; deal with,Brown planned to address the issue of low-income housing.,"tackle, deal with","ignore, avoid","Old French adrecier, 'to straighten'"
adept,uh-DEPT,adj.,expert at,She was adept at the fine art of irritating people.,"skilled, proficient","inept, clumsy","Latin adeptus, 'attained'"
adhere,ad-HEER,v.,stick fast,I will adhere to this opinion until proof to the contrary.,"stick, cling","detach, separate","Latin adhaerere, 'to stick to'"
adherent,ad-HEER-uhnt,n.,supporter; follower,The senator's adherents quietly deserted him.,"follower, supporter","opponent, dissenter","Latin adhaerere, 'to stick to'"
adjacent,uh-JAY-suhnt,adj.,adjoining; neighboring,"Philip's best friend lived only houses down, near but not adjacent.","adjoining, bordering","distant, remote","Latin adjacere, 'to lie near'"
adjunct,AJ-uhnkt,n.,something nonessential added on,I plan to use a laptop as an adjunct to my desktop.,"addition, accessory","essential, core","Latin adjungere, 'to join to'"
adjuration,aj-uh-RAY-shuhn,n.,solemn urging,Her adjuration to tell the truth did not change the testimony.,"plea, entreaty",-,"Latin adjurare, 'to swear to'"
adjutant,AJ-uh-tuhnt,n.,staff officer assisting the commander; assistant,Wellington delegated tasks to his chief adjutant.,"aide, assistant",-,"Latin adjutare, 'to help'"
admonish,ad-MON-ish,v.,warn; reprove,He admonished his listeners to change their wicked ways.,"reprimand, scold","praise, commend","Latin admonere, 'to warn'"
adorn,uh-DORN,v.,decorate,Wall paintings and statues adorned the temple.,"decorate, embellish","strip, deface","Latin adornare, 'to equip'"
adroit,uh-DROYT,adj.,skillful,Her adroit handling of the situation pleased her employers.,"skillful, deft","clumsy, inept","French à droit, 'rightly'"
adulation,aj-uh-LAY-shuhn,n.,flattery; admiration,The rock star thrived on the adulation of his fans.,"flattery, praise","criticism, scorn","Latin adulari, 'to flatter'"
adulterate,uh-DUL-tuh-rayt,v.,make impure by adding inferior substances,Beechnut adulterated its apple juice by mixing water in.,"contaminate, debase","purify, refine","Latin adulterare, 'to corrupt'"
advent,AD-vent,n.,arrival,Americans were unaware of the advent of the Nuclear Age.,"arrival, onset","departure, end","Latin adventus, 'arrival'"
adventitious,ad-vuhn-TISH-uhs,adj.,accidental; casual,She found this adventitious meeting extremely fortunate.,"accidental, incidental","intentional, deliberate","Latin adventicius, 'coming from outside'"
adversary,AD-vuhr-sair-ee,n.,opponent; enemy,"Batman struggled against his wicked adversary, the Joker.","opponent, rival","ally, friend","Latin adversarius, 'opponent'"
adverse,ad-VURS,adj.,unfavorable; hostile,The recession had a highly adverse effect on Father's investments.,"unfavorable, harmful","favorable, beneficial","Latin adversus, 'opposed'"
adversity,ad-VUR-sih-tee,n.,poverty; misfortune,We must learn to meet adversity gracefully.,"hardship, misfortune","prosperity, fortune","Latin adversitas, 'opposition'"
advert,ad-VURT,v.,refer to,"Since you advert to this matter frequently, you must regard it as important.","refer, allude",ignore,"Latin advertere, 'to turn toward'"
advocacy,AD-vuh-kuh-see,n.,support; active pleading on behalf of someone,No threats could dissuade Tutu from his advocacy of human rights.,"support, championing",opposition,"Latin advocare, 'to summon'"
advocate,AD-vuh-kayt,v.,urge; plead for,The abolitionists advocated freedom for the slaves.,"support, champion","oppose, discourage","Latin advocare, 'to summon'"
aegis,EE-jis,n.,shield; defense,"Under the aegis of the Bill of Rights, we enjoy our freedoms.","protection, sponsorship",-,"Greek aigis, 'shield of Zeus'"
aerie,AIR-ee,n.,nest of a large bird of prey,The mother eagle bore the rabbit to her aerie.,"nest, eyrie",-,"Old French aire, 'nest'"
aesthetic,es-THET-ik,adj.,artistic; dealing with the beautiful,The beauty of Tiffany's stained glass appealed to Alice's aesthetic sense.,"artistic, tasteful","unaesthetic, inartistic","Greek aisthetikos, 'perceptive'"
affable,AF-uh-buhl,adj.,easily approachable; warmly friendly,Nicholas was amazed at how affable his new employer was.,"amiable, friendly","aloof, unfriendly","Latin affabilis, 'easy to speak to'"
affected,uh-FEK-tid,adj.,artificial; pretended,His affected mannerisms bugged his old friends.,"artificial, pretentious","genuine, natural","Latin afficere, 'to influence'"
affidavit,af-ih-DAY-vit,n.,written statement made under oath,The court refused to accept her statement unless in an affidavit.,sworn statement,-,"Medieval Latin affidavit, 'he has sworn'"
affiliation,uh-fil-ee-AY-shuhn,n.,joining; associating with,His affiliation with the political party was short-lived.,"association, alliance","separation, disaffiliation","Latin affiliare, 'to adopt as a son'"
affinity,uh-FIN-ih-tee,n.,kinship,She felt an affinity with all who suffered.,"kinship, rapport","aversion, antipathy","Latin affinis, 'related'"
affirmation,af-uhr-MAY-shuhn,n.,positive assertion; confirmation,"Despite Tom's affirmations of innocence, Aunt Polly still suspected him.","assertion, confirmation","denial, negation","Latin affirmare, 'to make steady'"
affix,uh-FIKS,v.,attach or add on; fasten,He had to affix his official seal.,"attach, fasten","detach, remove","Latin affigere, 'to fasten to'"
affliction,uh-FLIK-shuhn,n.,state of distress; cause of suffering,"Even in the midst of her affliction, Elizabeth kept up spirits.","hardship, suffering","comfort, relief","Latin affligere, 'to strike down'"
affluence,AF-loo-uhns,n.,abundance; wealth,Foreigners are amazed by the affluence of American life.,"wealth, prosperity","poverty, destitution","Latin affluere, 'to flow toward'"
affront,uh-FRUHNT,n.,insult; intentional act of disrespect,She took it as a personal affront and refused to speak to her hosts.,"insult, offense","compliment, courtesy","Old French afronter, 'to slap in the face'"
agape,uh-GAYP,adj.,openmouthed,She stared agape at the strange animals.,"amazed, astonished","unmoved, indifferent",a- + gape
agenda,uh-JEN-duh,n.,items of business at a meeting,We had so much difficulty agreeing upon an agenda.,"schedule, program",-,"Latin agere, 'to do'"
agglomeration,uh-glom-uh-RAY-shuhn,n.,collection; heap,It took weeks to sort the agglomeration she had collected.,"accumulation, heap",dispersal,"Latin agglomerare, 'to wind into a ball'"
aggrandize,uh-GRAN-dyz,v.,"increase or intensify; raise in power, wealth, rank",A President may aggrandize his power without considering Congress.,"magnify, enlarge","diminish, demean","Latin ad + grandis, 'great'"
aggregate,AG-rih-git,v.,gather; accumulate,Dealers managed to aggregate great wealth quickly.,"accumulate, amass","disperse, scatter","Latin aggregare, 'to herd together'"
aggressor,uh-GRES-er,n.,attacker,See which one was the aggressor.,"attacker, assailant","victim, defender","Latin aggredi, 'to attack'"
aghast,uh-GAST,adj.,horrified; dumbfounded,Miss Manners was aghast at the crude behavior of the brothers.,"horrified, appalled","unfazed, calm","Old English gæstan, 'to terrify'"
agility,uh-JIL-ih-tee,n.,nimbleness,The agility of the acrobat amazed the audience.,"nimbleness, dexterity","clumsiness, awkwardness","Latin agilis, 'agile'"
agitate,AJ-ih-tayt,v.,stir up; disturb,Her fiery remarks agitated the already angry mob.,"disturb, incite","calm, pacify","Latin agitare, 'to drive'"
agnostic,ag-NOS-tik,n./adj.,one who is skeptical of the existence of god,Agnostics say we simply have no way to know.,"skeptic, doubter","believer, theist","Greek a- + gnostos, 'known'"
agog,uh-GOG,adj.,highly excited; intensely curious,We were all agog at the news that the movie star was joining a monastery.,"eager, excited","indifferent, bored","Old French en gogues, 'in mirth'"
agrarian,uh-GRAIR-ee-uhn,adj.,pertaining to land or its cultivation,The country is gradually losing its agrarian traditions.,"agricultural, rural","industrial, urban","Latin ager, 'field'"
alacrity,uh-LAK-rih-tee,n.,cheerful promptness; eagerness,They packed their gear and climbed into the van with alacrity.,"eagerness, readiness","reluctance, sluggishness","Latin alacer, 'lively'"
alchemy,AL-kuh-mee,n.,medieval chemistry,The changing of base metals into gold was the goal of alchemy.,-,-,Arabic al-kimiya
alcove,AL-kohv,n.,nook; recess,An alcove adjacent to the living room made a breakfast nook.,"nook, recess",-,"Spanish alcoba, from Arabic al-qubba"
alias,AY-lee-uhs,n.,an assumed name,John Smith's alias was Bob Jones.,"pseudonym, assumed name",-,"Latin alias, 'otherwise'"
alienate,AYL-yuh-nayt,v.,make hostile; separate,Her attempts to alienate the two friends failed.,"estrange, distance","unite, reconcile","Latin alienare, 'to estrange'"
alimentary,al-uh-MEN-tuh-ree,adj.,supplying nourishment,Digestion of foods occurs in the alimentary canal.,nutritive,-,"Latin alimentum, 'nourishment'"
alimony,AL-uh-moh-nee,n.,payments made to an ex-spouse after divorce,On their divorce he asked the court to award him alimony.,spousal support,-,"Latin alimonia, 'nourishment'"
allay,uh-LAY,v.,calm; pacify,The crew tried to allay the fears of the passengers.,"soothe, calm","agitate, provoke","Old English alecgan, 'to put down'"
allege,uh-LEJ,v.,state without proof,"Although it is alleged that she worked for the enemy, we have no proof.","assert, claim","prove, verify","Old French aleguer, 'to plead'"
allegiance,uh-LEE-juhns,n.,loyalty,Lech Walesa's allegiance to Solidarity was unshakeable.,"loyalty, fidelity","disloyalty, treachery","Old French ligeance, 'liege status'"
allegory,AL-uh-gor-ee,n.,story in which characters are symbols; fable,Pilgrim's Progress is an allegory of temptation and victory.,"fable, parable",-,"Greek allegoria, 'figurative speech'"
alleviate,uh-LEE-vee-ayt,v.,relieve,This should alleviate the pain.,"ease, relieve","aggravate, worsen","Latin alleviare, 'to lighten'"
alliteration,uh-lit-uh-RAY-shuhn,n.,repetition of beginning sound in poetry,The furrow followed free' is an example of alliteration.,-,-,"Latin ad + littera, 'letter'"
allocate,AL-uh-kayt,v.,assign,The Red Cross allocated a large sum for the relief.,"apportion, designate",withhold,"Latin allocare, 'to place'"
alloy,AL-oy,n.,a mixture of metals,Alloys of gold are used more frequently than the pure metal.,"blend, mixture",-,"Old French aleier, 'to combine'"
alloy,uh-LOY,v.,mix; make less pure; lessen or moderate,Our delight was alloyed by concern for the injured pitcher.,"dilute, temper",purify,"Old French aleier, 'to combine'"
allude,uh-LOOD,v.,refer indirectly,"Try not to mention divorce, he will think you are alluding to his marital problems.","hint, imply",state directly,"Latin alludere, 'to play with'"
allure,uh-LOOR,v.,entice; attract,"Allured by the song of the sirens, the helmsman steered toward the reef.","entice, tempt","repel, deter","Old French aleurer, 'to lure'"
allusion,uh-LOO-zhuhn,n.,indirect reference,She was making an allusion to Shakespeare's Merchant of Venice.,"reference, insinuation",-,"Latin alludere, 'to play with'"
alluvial,uh-LOO-vee-uhl,adj.,pertaining to soil deposits left by running water,The farmers found the alluvial deposits very fertile.,sedimentary,-,"Latin alluvius, 'washed against'"
aloof,uh-LOOF,adj.,apart; reserved,"Shy by nature, she remained aloof while the rest conversed.","reserved, distant","sociable, friendly","Dutch te loef, 'to windward'"
aloft,uh-LAWFT,adv.,upward,The sailor climbed aloft into the rigging.,"upward, overhead","below, downward","Old Norse a lopt, 'in the air'"
altercation,awl-tuhr-KAY-shuhn,n.,noisy quarrel; heated dispute,No meal ever came to a peaceful conclusion; the altercation ended in blows.,"quarrel, dispute","agreement, harmony","Latin altercari, 'to dispute'"
altruistic,al-troo-IS-tik,adj.,unselfishly generous; concerned for others,Eugene Lang performed a truly altruistic deed.,"selfless, generous","selfish, egotistical","French altruisme, from Latin alter, 'other'"
amalgamate,uh-MAL-guh-mayt,v.,combine; unite in one body,The unions will attempt to amalgamate their groups.,"merge, consolidate","separate, divide","Latin amalgama, 'alloy'"
amass,uh-MAS,v.,collect,The miser's aim is to amass as much gold as possible.,"accumulate, gather","disperse, squander","French amasser, 'to mass'"
amazon,AM-uh-zon,n.,female warrior,We refer to strong aggressive women as amazons.,female warrior,-,"Greek Amazon, mythical female warriors"
ambidextrous,am-bih-DEK-struhs,adj.,capable of using either hand with equal ease,A switch-hitter should naturally be ambidextrous.,two-handed,one-handed,"Latin ambi- + dexter, 'right hand'"
ambience,AM-bee-uhns,n.,environment; atmosphere,She went to the restaurant for the ambience.,"atmosphere, mood",-,French ambiance
ambiguous,am-BIG-yoo-uhs,adj.,unclear or doubtful in meaning,His ambiguous instructions misled us.,"unclear, vague","clear, unambiguous","Latin ambiguus, 'doubtful'"
ambivalence,am-BIV-uh-luhns,n.,state of having contradictory attitudes,"Torn between loving and hating her parents, she felt ambivalence.",conflicted feelings,"certainty, conviction","Latin ambi- + valentia, 'strength'"
amble,AM-buhl,n./v.,moving at an easy pace,She was afraid to urge the horse to go faster than a gentle amble.,"stroll, saunter","race, dash","Latin ambulare, 'to walk'"
ambrosia,am-BROH-zhuh,n.,food of the gods,Ambrosia was supposed to give immortality to any human.,divine food,-,"Greek ambrotos, 'immortal'"
ambulatory,AM-byuh-luh-tor-ee,adj.,able to walk; not bedridden,Calvin was a highly ambulatory patient.,"mobile, walking","bedridden, immobile","Latin ambulare, 'to walk'"
ameliorate,uh-MEEL-yuh-rayt,v.,improve,Many social workers have attempted to ameliorate the slums.,"improve, better","worsen, aggravate","Latin ad + melior, 'better'"
amenable,uh-MEE-nuh-buhl,adj.,readily managed or willing to be led,"Although usually amenable, he balked at minor local laws.","compliant, agreeable","stubborn, defiant","Latin minari, 'to drive animals'"
amend,uh-MEND,v.,correct; change for the better,"Hoping to amend his condition, he left Vietnam.","revise, correct","worsen, corrupt","Latin emendare, 'to free from fault'"
amenities,uh-MEN-ih-teez,n.,convenient features; courtesies,The hotel offers customary amenities for the business traveler.,"comforts, conveniences",-,"Latin amoenitas, 'pleasantness'"
amiable,AY-mee-uh-buhl,adj.,agreeable; lovable; warmly friendly,Beth is the amiable daughter whose disposition endears her to all.,"friendly, congenial","unfriendly, hostile","Latin amicabilis, 'friendly'"
amicable,AM-ih-kuh-buhl,adj.,politely friendly; not quarrelsome,Jo's quarrel with Laurie reaches an amicable settlement.,"friendly, cordial","hostile, antagonistic","Latin amicus, 'friend'"
amiss,uh-MIS,adj./adv.,wrong; faulty,"Seeing her frown, he wondered if anything were amiss.","wrong, awry","correct, right","Old Norse a mis, 'astray'"
amity,AM-ih-tee,n.,friendship,Programs were established to promote international amity.,"friendship, harmony","enmity, hostility","Latin amicus, 'friend'"
amnesia,am-NEE-zhuh,n.,loss of memory,"Because she was suffering from amnesia, police couldn't identify her.",memory loss,-,"Greek amnesia, 'forgetfulness'"
amnesty,AM-nuh-stee,n.,pardon,"When his first child was born, the king granted amnesty to all in prison.","pardon, reprieve","punishment, condemnation","Greek amnestia, 'forgetfulness'"
amoral,ay-MOR-uhl,adj.,nonmoral,The amoral individual lacks a code of ethics.,"unethical, without morals","moral, ethical",a- + moral
amorous,AM-uh-ruhs,adj.,moved by sexual love; loving,Love them and leave them' was the motto of the amorous Don Juan.,"loving, romantic","cold, indifferent","Latin amor, 'love'"
amorphous,uh-MOR-fuhs,adj.,formless; lacking shape or definition,"Right now, our plans are still amorphous.","shapeless, vague","defined, structured","Greek a- + morphe, 'form'"
amphibian,am-FIB-ee-uhn,adj./n.,able to live both on land and in water,Frogs are classified as amphibian.,dual-environment creature,-,"Greek amphi- + bios, 'life'"
amphitheater,AM-fih-thee-uh-ter,n.,oval building with tiers of seats,The spectators in the amphitheater cheered the gladiators.,"arena, stadium",-,"Greek amphi- + theatron, 'theater'"
ample,AM-puhl,adj.,abundant,Bond had ample opportunity to escape.,"abundant, plentiful","scant, insufficient","Latin amplus, 'large'"
amplify,AM-pluh-fy,v.,broaden or clarify; intensify; make stronger,Lucy used a loudspeaker to amplify her voice.,"strengthen, intensify","diminish, attenuate","Latin amplificare, 'to enlarge'"
amputate,AM-pyuh-tayt,v.,cut off part of body; prune,The doctors had to amputate Ted Kennedy's leg.,"sever, excise","attach, graft","Latin amputare, 'to cut around'"
amok,uh-MUK,adv.,in a state of rage,He ran amok in the department store.,"wild, berserk","calm, controlled","Malay amuk, 'rushing in frenzy'"
amulet,AM-yuh-lit,n.,charm; talisman,Around her neck she wore the amulet the witch doctor gave her.,"talisman, charm",-,"Latin amuletum, 'charm'"
anachronism,uh-NAK-ruh-niz-uhm,n.,something or someone misplaced in time,Shakespeare's reference to clocks in Julius Caesar is an anachronism.,time discrepancy,-,"Greek ana- + chronos, 'time'"
analgesic,an-uhl-JEE-zik,adj.,causing insensitivity to pain,The analgesic qualities of this lotion will provide relief.,pain-relieving,-,"Greek an- + algesis, 'sense of pain'"
analogous,uh-NAL-uh-guhs,adj.,comparable,She called our attention to an analogous situation.,"comparable, similar","different, dissimilar","Greek analogos, 'proportionate'"
analogy,uh-NAL-uh-jee,n.,similarity; parallelism,An analogy compares the immune system with an army.,"comparison, parallel",-,"Greek analogia, 'ratio'"
